Candidate ID,Raw Score,Summary,Bias Status,Normalized Score
CANDIDATE-5C6A5162,3.4%,"Candidate scored 3.4/100. Areas for concern: Missing core technical skills, Minimal relevant work history.",Neutral language detected.,8.3%
CANDIDATE-40CD6568,28.2%,Candidate scored 28.2/100. Strengths include: Strong professional experience match. Areas for concern: Missing core technical skills.,Neutral language detected.,71.4%
CANDIDATE-4BD91946,22.1%,Candidate scored 22.1/100. Areas for concern: Missing core technical skills.,Neutral language detected.,55.9%
CANDIDATE-3026F53C,21.9%,Candidate scored 21.9/100. Areas for concern: Minimal relevant work history.,Neutral language detected.,55.5%
CANDIDATE-22F6BB68,21.6%,Candidate scored 21.6/100. Areas for concern: Minimal relevant work history.,Neutral language detected.,54.6%
CANDIDATE-4250EAC3,14.2%,Candidate scored 14.2/100. Areas for concern: Missing core technical skills.,Neutral language detected.,35.9%
CANDIDATE-41DA61A7,4.7%,"Candidate scored 4.7/100. Areas for concern: Missing core technical skills, Minimal relevant work history.",Neutral language detected.,11.7%
CANDIDATE-E6557300,39.5%,Candidate scored 39.5/100. ,Neutral language detected.,100.0%
CANDIDATE-51D23961,4.3%,"Candidate scored 4.3/100. Areas for concern: Missing core technical skills, Minimal relevant work history.",Neutral language detected.,10.7%
CANDIDATE-BE106D63,4.2%,"Candidate scored 4.2/100. Areas for concern: Missing core technical skills, Minimal relevant work history.",Neutral language detected.,10.6%
CANDIDATE-098F3821,0.1%,"Candidate scored 0.1/100. Areas for concern: Missing core technical skills, Minimal relevant work history.",Neutral language detected.,0.0%
